,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
TSPAN6,3018,3573
TNMD,0,770
DPM1,2817,1607
SCYL3,591,1040
C1orf112,1083,215
FGR,231,573
CFH,1495,13487
FUCA2,2554,2373
GCLC,918,3212
NFYA,2623,1397
STPG1,797,587
NIPAL3,3581,2158
LAS1L,5139,2057
ENPP4,677,2596
SEMA3F,2486,2047
CFTR,29,26
ANKIB1,4439,4251
CYP51A1,101,46
KRIT1,379,330
RAD52,272,442
BAD,456,361
LAP3,4805,6444
CD99,13414,16402
CD99,0,0
HS3ST1,230,263
AOC1,2,19
WNT16,3,3
MAD1L1,33,15
LASP1,12251,11856
SNX11,1012,1998
TMEM176A,210,2141
M6PR,3368,3010
KLHL13,380,986
CYP26B1,322,2249
ICA1,1903,1066
DBNDD1,4176,182
ALS2,1811,1634
CASP10,1121,1372
CFLAR,4691,11461
TFPI,1261,5292
NDUFAF7,1031,669
RBM5,2121,4349
MTMR7,60,59
SLC7A2,72,3342
ARF5,7103,2613
SARM1,107,210
POLDIP2,6316,5692
PLXND1,7282,15380
AK2,9385,6551
CD38,15,147
FKBP4,12708,3374
KDM1A,10923,3311
RBM6,2432,4081
CAMKK1,618,588
RECQL,1293,2088
ARHGAP33,902,175
NDUFAB1,2667,2489
PDK4,2380,36224
SLC22A16,9,5
ABCB5,4,743
ARX,0,1
SLC25A13,4899,910
ST7,1293,1487
CDC27,3304,4494
SLC4A1,1,4
CALCR,2,59
HCCS,1624,1198
DVL2,2505,1165
PRSS22,2655,58
UPF1,6215,6590
SKAP2,1748,4737
SLC25A5,21215,7995
HOXA11,42,45
DHX33,1671,1094
MEOX1,8,2475
THSD7A,120,746
LIG3,3829,816
RPAP3,1878,1169
ACSM3,99,146
CIAPIN1,2471,1575
SPPL2B,1459,1092
COPZ2,1334,3144
PRKAR2B,840,53214
MSL3,3120,1531
CREBBP,4818,7104
PON1,29,8
GCFC2,1264,1470
WDR54,395,255
CROT,609,927
ABCB4,65,173
KMT2E,4617,5433
RHBDD2,5294,2772
SOX8,141,53
IBTK,1766,4465
ZNF195,1262,992
MYCBP2,2493,16047
FBXL3,1424,4310
ITGAL,145,449
PDK2,450,4294
ITGA3,2691,3211
ZFX,2762,3566
LAMP2,40391,12525
ITGA2B,63,48
ASB4,161,27
GDE1,2567,4718
CRLF1,1930,229
OSBPL7,212,314
TMEM98,1717,2186
YBX2,797,718
KRT33A,2,0
MAP3K14,1811,582
ABCC8,0,74
CACNG3,0,0
TMEM132A,7954,274
AP2B1,15277,15765
ZNF263,1612,1227
CX3CL1,5366,3898
SPATA20,1316,3120
CACNA1G,12,100
TNFRSF12A,19710,272
DLX6,306,10
MAP3K9,1789,225
RALA,8666,5285
BAIAP2L1,4811,371
KDM7A,5387,2505
ETV1,513,575
AGK,2204,1331
ALDH3B1,470,648
TTC22,859,106
PHTF2,2280,1449
FARP2,2802,1457
USH1C,279,2
GGCT,3378,962
DBF4,1333,276
TBXA2R,206,154
IFRD1,920,634
LGALS14,0,2
COX10,891,970
GTF2IRD1,3126,743
PAF1,5275,2619
VPS41,3375,4538
ARHGAP44,323,313
ELAC2,4737,4572
SCIN,308,115
ARSD,2383,2022
PNPLA4,757,1539
MYH13,33,13
ADIPOR2,5517,13697
CDKL3,20,26
UPP2,7,22
PRSS21,1,43
MARK4,5890,1281
PROM1,12449,1395
CCDC124,3099,1501
CEACAM21,41,49
PAFAH1B1,7257,9898
NOS2,245,42
DNAH9,4,298
GAS7,991,7992
TRAPPC6A,1910,511
MATK,587,63
CEACAM7,0,1
CD79B,22,115
SCN4A,12,2040
ST7L,308,576
TKTL1,1,12
PAX6,21,9
RPUSD1,1255,374
RHBDF1,1846,1414
LUC7L,860,1402
CACNA2D2,112,188
BAIAP3,138,176
TSR3,1281,995
PIGQ,1444,1095
TEAD3,3220,897
SELE,44,82
DNAJC11,2136,1483
FMO3,68,229
MYLIP,1344,3994
NOX1,46,30
E2F2,1140,49
PSMB1,6483,7988
SYN1,70,22
CDKL5,1915,1215
CAMK1G,50,26
CDK11A,29,41
NADK,2528,4713
TFAP2B,24,449
TFAP2D,0,0
DLEC1,21,120
CYTH3,2989,4687
ADAM22,55,773
SYPL1,8012,9458
CYB561,13812,3010
SPAG9,4885,9359
CELSR3,319,110
AASS,181,3412
PLEKHG6,2901,3365
SS18L2,873,483
MPND,432,200
MGST1,8750,41599
CRY1,1149,1105
PGLYRP1,1,3
NFIX,8393,18608
ST3GAL1,12534,5631
MMP25,156,31
IL32,15131,881
PKD1,2031,4941
MAPK8IP2,8178,106
MED24,5116,2764
RHOBTB2,435,687
HEATR5B,2646,3388
SEC62,6128,16533
RPS20,45635,64614
CSDE1,52743,78824
UBE3C,13346,6196
REV3L,653,4086
TENM1,31,552
PAX7,1,1
MASP2,7,152
IYD,7,6
FAM76A,984,1446
TRAF3IP3,71,109
POMT2,1132,1053
VTA1,2273,2345
MLXIPL,57,4494
BAZ1B,12240,7854
RANBP9,2399,2448
ETV7,370,56
SPRTN,660,494
DYRK4,645,462
ZNF207,6426,5096
STARD3NL,1998,1390
CD9,20068,6358
HHATL,2,96
NCAPD2,8144,2618
IFFO1,435,1062
GIPR,33,71
PHF7,114,508
SEMA3G,261,12086
NISCH,3369,6871
STAB1,1078,9720
